City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
298,Arlit,NE,18.7369,7.3853,72.88,20,0,8.43
299,Batman,TR,37.8874,41.1322,44.4,81,0,0.0
300,Noumea,NC,-22.2763,166.4572,82.99,99,11,5.44
301,Kishapu,TZ,-3.6167,33.8667,74.97,38,96,12.77
302,Bay Roberts,CA,47.5999,-53.2648,45.34,59,0,5.01
303,Esfarayen,IR,37.0765,57.5101,54.36,59,51,2.82
304,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.02,66,71,5.39
305,Dhupgari,IN,26.5858,89.0145,68.36,75,0,3.38
306,Lahij,YE,13.1667,44.5833,72.25,77,2,2.86
307,Salalah,OM,17.0151,54.0924,73.49,68,0,5.75
308,Shache,CN,38.4167,77.2406,51.71,32,81,1.48
309,Iralaya,HN,15.0,-83.2333,79.27,75,10,5.57
310,Ugep,NG,5.8086,8.0812,74.5,92,100,4.56
311,Lasa,IT,46.6166,10.7002,57.16,65,13,1.72
312,Saint-Malo,FR,48.5,-1.8333,64.35,86,100,12.17
313,Puerto Baquerizo Moreno,EC,-0.9,-89.6,67.15,85,85,12.84
314,Barranca,PE,-10.75,-77.7667,61.52,82,1,7.58
315,Westport,US,41.1415,-73.3579,50.76,61,0,8.05
316,Mabay,PH,6.0577,124.4666,79.7,87,100,0.92
317,Tomatlan,MX,19.9333,-105.25,73.96,91,0,1.34
318,Yerbogachen,RU,61.2767,108.0108,29.97,93,100,7.63
319,La Palma,US,33.8464,-118.0467,76.95,70,40,11.5
320,Mount Gambier,AU,-37.8333,140.7667,53.51,94,75,13.8
321,Winnemucca,US,40.973,-117.7357,55.45,19,0,4.61
322,Miles City,US,46.4083,-105.8406,47.37,53,0,8.05
323,Kruisfontein,ZA,-34.0033,24.7314,61.88,79,99,13.53
324,Huron,US,41.1501,-82.5499,49.73,79,2,6.71
325,Paamiut,GL,61.994,-49.6678,34.36,80,100,24.74
326,Mirnyy,RU,62.5353,113.9611,20.17,95,100,8.63
327,Xining,CN,36.6167,101.7667,40.98,81,100,1.3
328,Canchungo,GW,12.0672,-16.0333,78.91,86,100,6.06
329,Ancud,CL,-41.8697,-73.8203,46.54,87,100,14.54
330,Dicabisagan,PH,17.0818,122.4157,79.74,92,100,21.63
331,Eidsvag,NO,62.7767,8.0668,54.25,94,100,4.85
332,Langsa,ID,4.4683,97.9683,76.01,94,100,2.13
333,Volosovo,RU,59.4333,29.4833,49.84,98,100,7.14
334,Ngunguru,NZ,-35.6167,174.5,66.02,88,84,16.6
335,Acapulco,MX,16.8634,-99.8901,82.22,78,40,5.75
336,Hithadhoo,MV,-0.6,73.0833,81.91,78,100,17.34
337,Puerto Leguizamo,CO,-0.1934,-74.7819,74.77,96,100,2.06
338,Pangnirtung,CA,66.1451,-65.7125,21.72,76,100,8.14
339,Erdenet,MN,49.0333,104.0833,30.54,68,100,1.99
340,Quatre Cocos,MU,-20.2078,57.7625,71.1,78,89,9.82
341,Sibolga,ID,1.7427,98.7792,75.99,92,100,3.58
342,Okhotsk,RU,59.3833,143.3,25.61,55,100,5.44
343,Seoni Malwa,IN,22.45,77.4667,65.19,60,0,4.27
344,Kaitangata,NZ,-46.2817,169.8464,65.93,65,99,7.56
345,Niamey,NE,13.5137,2.1098,79.54,16,0,11.18
346,Nelson Bay,AU,-32.7167,152.15,74.1,44,0,11.01
347,Smolenka,RU,52.1352,113.4974,17.67,86,100,4.47
348,Mogadishu,SO,2.0371,45.3438,77.67,81,16,7.7
349,Umm Lajj,SA,25.0213,37.2685,79.12,50,9,8.34
350,Chokwe,MZ,-24.5333,32.9833,71.02,74,100,12.66
351,Goderich,CA,43.7501,-81.7165,41.92,60,16,12.68
352,Nkhotakota,MW,-12.9274,34.2961,75.13,52,5,5.5
353,Entre Rios,BR,-11.9419,-38.0844,69.85,98,25,3.44
354,Guzelyurt,TR,38.2772,34.3719,38.59,67,5,4.92
355,Ornskoldsvik,SE,63.2909,18.7153,34.75,100,20,2.3
