City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
279,Buchanan,LR,76.75,5.8808,-10.0467,Kamaneahn Hotel Inc
281,Bajil,YE,80.47,15.0584,43.2851,فندق حضرموت
283,Lorengau,PG,84.81,-2.0226,147.2712,Lorengau Harbourside Hotel
289,Sao Felix Do Xingu,BR,76.33,-6.6447,-51.995,Rio Xingu Camping
293,Nago,JP,78.46,26.5881,127.9761,Hotel Yugaf Inn Okinawa
295,Jizan,SA,82.53,17.3333,42.6667,شهدان. ابوالحجر
300,Noumea,NC,82.99,-22.2763,166.4572,Hôtel Le Lagon
304,Sao Miguel Do Araguaia,BR,79.02,-13.275,-50.1628,Hotel Executivo Palace
309,Iralaya,HN,79.27,15.0,-83.2333,Iglesia morava renovada
316,Mabay,PH,79.7,6.0577,124.4666,Bautista Lodging House
319,La Palma,US,76.95,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
328,Canchungo,GW,78.91,12.0672,-16.0333,Aparthotel Napalach
330,Dicabisagan,PH,79.74,17.0818,122.4157,Nancy Montanes Bernardo
332,Langsa,ID,76.01,4.4683,97.9683,OYO 3328 Hotel Mori
335,Acapulco,MX,82.22,16.8634,-99.8901,HS Hotsson Smart Acapulco
336,Hithadhoo,MV,81.91,-0.6,73.0833,Scoop Guest House
341,Sibolga,ID,75.99,1.7427,98.7792,Hotel Syariah CN Darussalam
345,Niamey,NE,79.54,13.5137,2.1098,Soluxe Hotel Niamey
348,Mogadishu,SO,77.67,2.0371,45.3438,Hotel Juba
349,Umm Lajj,SA,79.12,25.0213,37.2685,Moon light Furnished Units
352,Nkhotakota,MW,75.13,-12.9274,34.2961,Sitima Inn
360,Tabou,CI,76.17,4.423,-7.3528,hotêl doufoulougou
362,Moron,AR,76.93,-34.6534,-58.6198,Hotel Morón
364,Itaituba,BR,78.69,-4.2761,-55.9836,Hotel Campos
368,La Reforma,MX,78.33,25.0833,-108.05,Hotel Reforma
374,Saint-Louis,SN,89.58,16.3333,-15.0,
375,Panama City,PA,80.55,8.9936,-79.5197,Trump International Hotel & Tower Panama
376,Tabuk,PH,75.88,17.4189,121.4443,Golden Berries Hotel and Convention
378,Alugan,PH,81.28,12.2188,125.4808,JM Lodge
383,Tual,ID,84.74,-5.6667,132.75,Grand Vilia Hotel
387,Karaton,ID,79.43,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
388,Buala,SB,84.2,-8.145,159.5921,Maringe Lagoon Lodge
392,Port Hedland,AU,78.85,-20.3167,118.5667,The Esplanade Hotel
395,Honiara,SB,84.42,-9.4333,159.95,Heritage Park Hotel
397,Sokolo,ML,78.1,14.7328,-6.1219,
400,Balabac,PH,82.67,7.9868,117.0645,Batalla’s Lodging House
406,San Rafael,AR,75.79,-34.6177,-68.3301,Hotel San Rafael
407,Rio Cuarto,AR,76.48,-33.1307,-64.3499,Hotel Menossi
417,Lodwar,KE,79.29,3.1191,35.5973,Solmar Gracious Hotel
418,Grand-Santi,GF,75.4,4.25,-54.3833,Hotel La Villa Couacou
428,Goundam,ML,78.4,16.4145,-3.6708,
434,Varzea Da Palma,BR,79.68,-17.5981,-44.7308,Casa Fernandes
438,Porto Novo,BJ,77.38,6.4965,2.6036,Tour Eiffel Hotel Benin
444,Nicoya,CR,75.74,10.1483,-85.452,Las Cabinas Del Sueño
450,Kavieng,PG,84.61,-2.5744,150.7967,Nusa Island Retreat
452,Oranjestad,AW,81.91,12.524,-70.027,Divi Village Golf & Beach Resort
454,Atar,MR,84.6,20.5169,-13.0499,Oumou Elghoura
458,Sapa,PH,82.76,5.1544,120.3241,
459,Freetown,SL,78.49,8.484,-13.2299,The Country Lodge Hotel
460,Katobu,ID,84.7,-4.9408,122.5276,La Ode Husein
462,Kloulklubed,PW,84.7,7.0419,134.2556,Storyboard Beach Resort
465,Hirara,JP,79.09,24.8,125.2833,Hotel Atoll Emerald Miyakojima
